NR-N015-2;;1;2 651,00;
NR-N016;;2;3 119,00;
NR-N016-2;;1;3 274,00;
NR-N017;;2;4 210,00;1
NR-N018;;1;5 769,00;1
NR-N019-3;;2;3 274,00;
NR-N021;;1;3 352,00;1
NR-N022-1;;6;5 613,00;
NR-N025;;3;13 565,00;1
NR-N030;;6;4 522,00;1
NR-N033;;1;3 430,00;1
NR-N037;;6;2 807,00;1
NR-N038;;1;3 274,00;1
NR-N039;;1;2 807,00;1
NR-N039-1;;1;2 963,00;
NR-N040;;2;5 925,00;1
NR-N041;;2;3 586,00;
NR-N042;;10;2 807,00;1
NR-N043;;1;6 393,00;1
NR-N043-1;;2;7 952,00;1
NR-N044;;1;3 274,00;
NR-N045;;1;4 678,00;
NR-N045-1;;1;4 522,00;
NR-N049;;2;2 963,00;1
NR-N050;;1;3 196,00;1
NR-N050-1;;1;3 586,00;1
NR-N051;;1;4 678,00;1
NR-N052;;3;5 068,00;
NR-N054;;2;3 274,00;
NR-N057;;2;2 807,00;1
NR-N062;;3;6 081,00;1
NR-N063;;2;7 173,00;1
NR-N064-2;;1;4 834,00;1
NR-N064-3;;2;4 678,00;1
NR-N065;;2;5 925,00;1
NR-N066-2;;1;1 014,00;
NR-N069;;1;5 146,00;1
NR-N070;;3;11 850,00;
NR-N071;;2;6 861,00;1
NR-N071-1;;2;6 861,00;1
NR-N071-2;;2;7 328,00;
NR-N074;;1;5 301,00;1
NR-N076;;12;4 990,00;1
NR-N076-1;;1;5 613,00;1
NR-N077;;2;3 352,00;1
NR-N077-1;;1;3 430,00;1
NR-N077-3;;1;3 430,00;1
NR-N078;;3;2 729,00;1
NR-N080;;2;7 017,00;1
NR-N080-1;;1;6 861,00;1
NR-N082;;2;5 301,00;1
NR-N083-5;;2;5 457,00;1
NR-N084;;1;3 430,00;1
NR-N085-1;;2;4 990,00;1
NR-N085R;;1;5 457,00;
NR-N086;;3;4 990,00;1
NR-N087;;2;6 705,00;1
NR-N089;;1;5 769,00;
NR-N089-2;;1;6 393,00;1
NR-N089-3;;1;6 081,00;1
NR-N089-4;;1;6 393,00;
NR-N090;;2;5 769,00;1
NR-N091-1;;1;11 694,00;
NR-N092-1;;2;5 457,00;1
NR-N092R;;4;5 613,00;1
NR-N095R;;2;6 705,00;1
NR-N096;;1;5 925,00;1
NR-N098;;1;5 769,00;1
NR-N104;;1;13 721,00;1
NR-N105;;1;7 017,00;
NR-N106-1;Старое NR-N108-6;1;6 081,00;1
NR-N107-3;;1;5 925,00;
NR-N108;;2;5 925,00;1
NR-N108-3;;2;5 613,00;1
NR-N108-5;;1;5 925,00;1
NR-N111;;1;6 237,00;
NR-N115;;1;3 586,00;
NR-N115-1;;1;3 274,00;1
NR-N120;;1;6 705,00;1
NR-N121;;1;6 861,00;1
NR-N121-1;;2;7 017,00;
NR-N122;;1;7 484,00;
NR-N122-1;;1;5 925,00;
NR-N125;;1;7 328,00;1
NR-N131;;1;6 393,00;1
NR-N132;;1;5 301,00;1
NR-N132-2;;1;5 769,00;
NR-N134;;1;4 210,00;
NR-N140;;6;8 264,00;1
NR-N141;;1;5 301,00;1
NR-N147;;1;6 081,00;
