RHF5-088;;3;7 898,00;;;
S2-002;;1;9 477,00;;;
T2-003;;1;6 476,00;;;
T2-006;;3;6 160,00;;;
T2-070;;2;5 528,00;;;
TA45-009;;1;10 267,00;;;
TD02-000;;1;4 581,00;;;
TD02-000-1;;1;5 212,00;;;
TD02-005R;;2;6 318,00;;;
TD02-051BR;;3;6 634,00;;;
TD03-024BR;;2;7 266,00;;;
TD03-027B;;1;7 108,00;;;
TD04-009;;1;6 476,00;;;
TD04-014;;1;6 476,00;;;
TD04-019;;1;6 318,00;;;
TD04-026;;1;5 528,00;;;
TD04-036R;;1;6 476,00;;;
TD04-038;;2;7 108,00;;;
TD04-051B;;1;7 424,00;;;
TD04-059;;1;5 686,00;;;
TD04-066;;2;5 528,00;;;
TD04-087;;1;6 792,00;;;
TD04-112B;;2;7 582,00;;;
TN-TD04-119;;2;8 371,00;;;
TD04-VG3;;1;7 582,00;;;
TD04-VG6;;2;8 213,00;;;
TD05-002R;Старое TD05-014;1;8 055,00;;;
TD05-004;;3;6 318,00;;;
TF035-008;;1;5 528,00;;;
AC-BM003-1e;;1;9 161,00;;;
AC-BW007;;1;1 658,00;;;
AC-BW008;;1;1 816,00;;;
AC-BW009;;1;1 453,00;;;
AC-BW038e;;1;6 318,00;;;
AC-CZ002-1;;2;1 580,00;;;
AC-G037;;1;1 580,00;;;
AC-G037-1;;1;1 580,00;;;
AC-G037-2;;2;1 516,00;;;
AC-G072;;2;1 737,00;;;
AC-G084;;1;1 737,00;;;
AC-G085;;1;1 264,00;;;
AC-G147-1ev;;1;3 317,00;;;
AC-G216-2e;;3;4 423,00;;;
AC-G234-1eh;;1;7 740,00;;;
AC-G246eh;;2;8 055,00;;;
AC-G258eh;;1;6 950,00;;;
AC-G261eh;;2;7 424,00;;;
AC-G266e;;2;4 739,00;;;
AC-G275-1ev;;2;2 922,00;;;
AC-G293eh;;1;4 265,00;;;
AC-G296-1ev;;1;1 895,00;;;
AC-G296e;Старое AC-G273e;3;4 896,00;;;
AC-G299e;;1;5 054,00;;;
AC-G301e;;1;5 054,00;;;
AC-G302eh;;1;7 424,00;;;
